,Address,Type,Price,Year Built,Energy Rating,Monthly Ownership Costs,List Time,City,Rooms,m2,Currency,Price Change %,Price per. m2,Price Category
117,Rønnehaven 50,Villa,4995000,1976,D,3557,90 dage,Lystrup,3,156.0,DKK,"-4,00",32019.0,4000000<
118,Asmusgårdsvej 56,Villa,5295000,2005,C,3596,90 dage,Lystrup,5,154.0,DKK,"0,00",34383.0,4000000<
119,Kolt Østerparken 172,Rækkehus,4195000,2014,A2010,2720,91 dage,Hasselager,5,182.0,DKK,"0,00",23049.0,4000000<
120,"Jægergårdsgade 31, 2.",Ejerlejlighed,1898000,1875,E,1436,91 dage,Aarhus C,1,35.0,DKK,"0,00",54229.0,1500000-2000000
121,Hybenrosevej 6,Villa,7250000,1971,D,4232,91 dage,Skødstrup,3,189.0,DKK,"0,00",38360.0,4000000<
122,Ormslevvej 110,Villa,3495000,1971,D,3077,95 dage,Viby J,3,135.0,DKK,"-8,00",25889.0,3000000-3500000
123,Engtoften 4E,Ejerlejlighed,1495000,1960,C,1879,95 dage,Viby J,2,50.0,DKK,"-5,00",29900.0,1000000-1500000
124,"Præstehaven 17, Hasle",Rækkehus,3995000,1940,C,3401,103 dage,Aarhus V,3,98.0,DKK,"0,00",40765.0,3500000-4000000
125,"Norsgade 31, 2.",Ejerlejlighed,3095000,1880,C,2803,104 dage,Aarhus C,2,59.0,DKK,"0,00",52458.0,3000000-3500000
126,"Rundhøj Allé 93, 1. th",Ejerlejlighed,1398000,1967,D,2936,104 dage,Højbjerg,3,86.0,DKK,"-7,00",16256.0,1000000-1500000
127,Lyngbakken 17,Villa,5495000,1968,C,3761,111 dage,Lystrup,4,176.0,DKK,"0,00",31222.0,4000000<
128,Eghovedvej 42,Villa,3495000,1976,C,2630,116 dage,Malling,3,125.0,DKK,"-3,00",27960.0,3000000-3500000
129,Nørrevænget 30,Rækkehus,1895000,1970,C,2237,117 dage,Tranbjerg J,2,72.0,DKK,"-5,00",26319.0,1500000-2000000
130,Havlundsvej 34,Fritidshus,7998000,1986,N/A,3691,117 dage,Egå,2,90.0,DKK,"0,00",88867.0,4000000<
131,Holmevej 114,Villa,6495000,1951,C,4520,119 dage,Højbjerg,4,174.0,DKK,"0,00",37328.0,4000000<
132,Tranevej 12,Villa,13250000,1988,D,9418,120 dage,Risskov,3,262.0,DKK,"0,00",50573.0,4000000<
133,"Bronzealdervej 128B, Hasle",Ejerlejlighed,1695000,2001,B,2561,120 dage,Aarhus V,3,59.0,DKK,"-5,00",28729.0,1500000-2000000
134,Østermarksvej 96,Villa,3548000,1998,C,2456,120 dage,Tilst,3,133.0,DKK,"-5,00",26677.0,3500000-4000000
135,"Engtoften 4A, 1. Dør/lejl. 1",Ejerlejlighed,1595000,1960,C,1930,123 dage,Viby J,2,55.0,DKK,"-6,00",29000.0,1500000-2000000
136,"Marselis Boulevard 28, 6. Dør/lejl. 6",Ejerlejlighed,2995000,1959,C,3592,125 dage,Aarhus C,4,93.0,DKK,"0,00",32204.0,2500000-3000000
